Firma;Anrede;Vorname;Nachname;Strasse;PLZ;Ort;Öffnungszeiten;Telefon;Pin Farbe;Temporär;Transporte
Gare, guichet des bagages;;;;Gare;1145;Bière;"lun-jeu 05:25 – 21:30; ven-sam 05:25 – 20:00; dim 06:00 – 11:45, 12:50 – 15:00, 16:00 – 20:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 21 809 93 93;FE7569;;
Gare, guichet des bagages;;;;place de la Gare 9;1040;Echallens;"lun-sam 05:30 – 21:30; dim 08:30 – 21:30<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 21 886 20 15;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare;1020;Renens;"lun-ven 06:50 – 18:30; sam-dim 08:00 – 11:50, 13:10 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Gare, guichet des bagages;;;;Gare;1630;Bulle;"lun-sam 06:00 – 19:00; dim 07:00 – 19:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";+41 26 351 02 00;FE7569;;
Gare, guichet des bagages;;;;Place de la Gare 10;3960;Sierre/Siders;"lun-ven 07:00 – 19:00; sam 08:00 – 17:30; dim 08:00 – 11:30, 12:30 – 17:00<br />Transport gratuit uniquement contre commande préalable d’une étiquette de transport à: <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/fr/Contact/Formulaire-de-contact"">velafrica.ch</a> ou au 031 979 70 50";0900 300 300;FE7569;;
Entsorgungshof Schermen;;;;Wölflistrasse 17;3006;Bern;Mo-Fr 8-12 & 13-18:30<br />Sa 8-15;+41 31 321 79 79;FE7569;;
Entsorgungshof Fellerstrasse;;;;Fellerstrasse 13A;3027;Bern;"Mo-Fr 08:00 – 12:00, 13:00 – 18:30; Sa 08:00 – 15:00";+41 31 321 79 79;FE7569;;
Eco Grischun;;;;Rossbodenstrasse 43;7000;Chur;;;;;
E. Bigler Transporte;Herr;Reto;Lauper;Feldstrasse 55;3073;Gümligen;Montag, Mittwoch, Freitag: 13-17 Uhr <br />Samstag: 9-13 Uhr <br />Dienstag und Donnerstag geschlossen;+41 31 951 00 14;FE7569;;
Drahtesel;;;;Waldeggstrasse 27;3097;Liebefeld;Mo-Fr 8-17 Uhr;+41 31 979 70 70;09F932;;ja
Déchetterie intercommunale de Grandson;;;;;1422;Grandson;Déchetterie intercommunale<br />Aux Tuileries à coté du stade de foot<br />Horaire d'été (avril à octobre):<br />Lundi: de 10 h à 11 h 30 et de 16 h à 19h<br />Mardi, Mercredi et Vendredi: de  16 h à 19 h<br />Samedi: de 9 h à 12 h et de 13 h 30 à 16 h<br />Horaire d'hiver (novembre à mars):<br />Lundi: de 10 h à 11 h 30 et de 16 h à 18h<br />Mercredi et Vendredi: de  16 h à 18 h;;FE7569;;
Déchètterie communal de Tévenon / Villars-Burquin;;;;;1423;Villars-Burquin;Déchètterie communal de Tévenon / Villars-Burquin<br />Situé à proximité de l’Arboretum (côté Sud-Ouest de Villars-Burquin)<br />Horaire d'éte:<br />Mardi, de 16.00 à 19.00h<br />Samedi, de 9.00 à 12.00h<br />Horaire d'hiver:<br />Mardi, de 16.00 à 17.30h<br />Samedi, de 9.00 à 12.00h   ;;FE7569;;
Déchèterie communale de Chavornay;;;;;1373;Chavornay;Déchèterie communale<br />Rue de l'Industrie, parcelle Perret SA<br />Lun, Mer, Ven: 16:00-18:30<br />Sam 9:00-12:00 ;;FE7569;;
Déchèterie communal de Sergey ;;;;;1355;Sergey;Déchèterie communal<br />Mer 18.00-19.00h ;;FE7569;;
Cycling Emotion;Herr;Benjamin;Müller;Rheinstrasse 47;4410;Liestal;Mo: 14 - 18.30h<br />Di - Do: 8 - 12 & 14 - 18.30h<br />Fr: 8 - 12 & 14 - 18<br />Sa: 9 - 16h;061 901 45 52;;;
Commune de Yvonand, Déchèterie au village;;;;;1462 ;Yvonand;"derrière l'administration communale<br />Lun-Jeu 7:30-17:30h; Ven 7:30-16:30h;<br />Sam 9-12:30h";;FE7569;;
Commune de Yvonand;;;;Chemin des Cerisier 48;1462 ;Yvonand;Mer, Ven, Sam: 13:00-17:00;;FE7569;;
Claudia Müller's Velowerkstatt;Frau;Claudia;Müller;Buechstrasse 1;5445;Eggenwil;Di & Mi 9-11, April bis September zusätzlich Sa 9-11;;FE7569;;
City Cycles;Herr;Peter;Stämpfli;Bollwerk 39;3011;Bern;Mo-Fr 08:00 – 12:30, 15:00 – 19:00;+41 31 311 61 16;FE7569;;
Caritas Luzern;;;;Grossmatte Ost 10;6014;Littau;Mo-Fr 08:00 – 12:00, 13:00 – 17:00;;09F932;;
Brühlgut Stiftung;;;;Klosterstrasse 17;8400;Winterthur;Mo-Fr 08:00 – 12:00, 13:30 – 16:00<br />Grössere Mengen Velos (min. 10 bis max. 50) werden in folgenden Gemeinden auch abgeholt: Winterthur, Berg, Buch, Neftenbach, Seuzach, Wiesendangen, Elsau, Elgg, Hagenbuch, Aadorf;;09F932;;
brings! Abfallsammelstelle der Region Münchenbuchsee;Herr;Matthias;Schwendimann;Bielstrasse 40;3053;Münchenbuchsee;"Mo-Fr 15:30 – 18:30; Sa 08:30-17:00";+41 31 868 06 80;FE7569;;
brings! Abfallsammelstelle der Region Laupen;Herren;Tillmann &;Weber;Murtenstrasse 33;3177;Laupen;"Mo-Fr 15:30 – 18:30; Sa 08:30 – 17:00";+41 31 747 01 45;FE7569;;
brings! Abfallsammelstelle der Region Kirchberg;;;;Industrie Neuhof 40;3422;Kirchberg;"Mo-Fr 10:00 – 11:45, 13:15 – 19:00; Sa 09:00 – 18:00";+41 31 868 06 80;FE7569;;
brings! Abfallsammelstelle der Region Huttwil;Herr;;Mathys;Schwende 10A;4950;Huttwil;"Mo-Fr 15.30-18.30 Uhr; Sa 8.30-12 Uhr und 13-17 Uhr";;FE7569;;
Birrer Velos Motos ;Herr;Jürg;Birrer;Hertiweg 19;8180;Bülach;Di-Fr 8-12 & 13.30-18.30, Sa 8-15;;FE7569;;
Bike Windlin;Herr;Leo;Windlin;Militärstrasse 12;6060;Sarnen;Di-Fr 9-12 und 13.30-18.30, Sa 9-16;+41 41 660 22 05;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;7130;Ilanz;"Mo-Fr 06:10 – 18:40; Sa 06:50 – 16:40; So 08:00 – 18:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 81 288 43 16;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 16;9630;Wattwil;"Mo-Fr 06:15 – 18:45; Sa 07:15 – 17:45; So 07:45 – 11:40, 12:20 – 16:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 71 375 68 71;FE7569;;
Bahnhof Gepäckschalter;;;;Sihltalstrasse 97;8135;Langnau-Gattikon;"Mo-Fr 06:15 – 18:50; Sa-So 07:15 – 11:30, 12:40 – 16:50<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 44 206 46 69;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1;8840;Einsiedeln;"Mo-Fr 06:15 – 19:00; Sa 07:45 – 16:00; So 07:45 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 55 418 25 31;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 7;8603;Schwerzenbach ZH;"Mo-Fr 06:15 – 19:15; Sa 07:30 – 11:30, 12:30 – 16:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 5;9100;Herisau;"Mo-Fr 06:15 – 19:30; Sa 07:00 – 18:30; So 07:00 – 14:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 71 353 36 30;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 2;8910;Affoltern am Albis;"Mo-Fr 06:15 – 19:30; Sa-So 06:45 – 18:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;8610;Uster;"Mo-Fr 06:15 – 19:30; Sa-So 06:45 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;7220;Schiers;"Mo-Fr 06:20 – 11:15, 13:50 – 17:05<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 81 288 23 35;FE7569;;
Bahnhof Gepäckschalter;;;;Ulmgasse 3;7201;Untervaz;"Mo-Fr 06:20 – 18:00, 18:30 – 20:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0848 888 888;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 18;3770;Zweisimmen;"Mo-Fr 06:20 – 18:30; Sa-So 06:50 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 33 729 87 40;FE7569;;
Bahnhof Gepäckschalter;;;;Burgdorfstrasse 6;3510;Konolfingen;"Mo-Fr 06:20 – 19:10; Sa-So 07:45 – 12:10, 12:50 – 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 40;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 2;3507;Biglen;"Mo-Fr 06:30 – 09:15, 09:45 – 11:40, 13:50 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 53 26;FE7569;;
Bahnhof Gepäckschalter;;;;SOB;9113;Degersheim;"Mo-Fr 06:30 – 10:45, 13:00 – 17:00; Sa 07:10 – 12:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 71 375 68 41;FE7569;;
Bahnhof Gepäckschalter;;;;Hauptstrasse 21;9042;Speicher;"Mo-Fr 06:30 – 10:45, 13:15 – 17:00; Sa 07:45 – 11:45, 13:15 – 16:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 71 343 70 11;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;7013;Domat/Ems;"Mo-Fr 06:30 – 11:05, 13:05 – 16:45; Sa 07:30 – 12:05, 12:25 – 15:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 81 288 42 25;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;4710;Balsthal SO;"Mo-Fr 06:30 – 18:20 ; Sa 06:30 – 11:50<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 62 391 31 53;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 1;3150;Schwarzenburg;"Mo-Fr 06:30 – 18:20; Sa 06:40 – 11:30, 12:40 – 16:00; So 07:40 – 11:30, 12:40 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 22 18;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 4;3186;Düdingen;"Mo-Fr 06:30 – 18:30; Sa 07:30 – 14:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 00;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof 2;4702;Oensingen;"Mo-Fr 06:30 – 18:30; Sa 08:00 – 13:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Hardrainstrasse 24;8105;Regensdorf-Watt;"Mo-Fr 06:30 – 18:30; Sa 08:00 – 15:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 30;8305;Dietlikon;"Mo-Fr 06:30 – 18:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Untere Grabenstrasse 28;4800;Zofingen AG;"Mo-Fr 06:30 – 18:45; Sa 07:00 – 16:45; So 07:00 – 14:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;3422;Kirchberg-Alchenflüh;"Mo-Fr 06:30 – 18:45; Sa 08:50 – 11:45, 12:15 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 52 37;FE7569;;
Bahnhof Gepäckschalter;;;;Güterstrasse 2;8952;Schlieren;"Mo-Fr 06:30 – 18:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 13;8307;Effretikon;"Mo-Fr 06:30 – 19:00; Sa 06:30 – 16:00; So 08:00 – 12:00, 13:00 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 6;6210;Sursee;"Mo-Fr 06:30 – 19:00; Sa 06:30 – 17:00; So 06:30 – 14:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1;4410;Liestal;"Mo-Fr 06:30 – 19:00; Sa 07:00 – 17:00; So 08:50 – 13:05, 13:45 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Eisenbahnstrasse 8;4900;Langenthal;"Mo-Fr 06:30 – 19:00; Sa 07:00 – 17:30, So 09:00 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 2;6370;Stans;"Mo-Fr 06:30 – 19:00; Sa 07:15 – 18:00; So 07:45 – 12:00, 13:15 – 17:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 668 86 70;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof 1;3662;Seftigen;"Mo-Fr 06:30 – 19:00; Sa 07:30 – 12:00, 13:00– 16:30<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 20 47;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz;9200;Gossau SG;"Mo-Fr 06:30 – 19:00; Sa 07:40 – 17:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Seestrasse 2;3600;Thun;"Mo-Fr 06:30 – 19:00; Sa-So 07:30 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1;8340;Hinwil;"Mo-Fr 06:30 – 19:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 4;8953;Dietikon;"Mo-Fr 06:30 – 19:15; Sa-So 07:15 – 18:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnweg 4;8808;Pfäffikon SZ;"Mo-Fr 06:30 – 19:30; Sa 06:30 – 11:00, 12:00 – 16:45; So 07:30 – 11:00, 12:00 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Friedbergstrasse 2;9240;Uzwil;"Mo-Fr 06:40 – 17:00; Sa 07:40 – 15:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Ziegelbrückstrasse 121;8866;Ziegelbrücke;"Mo-Fr 06:40 – 18:30; Sa 07:45 – 12:05, 12:45 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofplatz 1;3210;Kerzers;"Mo-Fr 06:40 – 18:40 Sa 07:40 – 12:15, 13:15 – 16:50<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 30;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof;8965;Berikon-Widen;"Mo-Fr 06:40 – 18:50; Sa 08:00 – 15:50<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 56 648 33 44;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 4;3550;Langnau im Emmental;"Mo-Fr 06:40 – 19:00; Sa 07:40 – 16:40; So 07:40 – 12:00, 13:00 – 16:40<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 58 327 60 80;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 48;8157;Dielsdorf;"Mo-Fr 06:45 – 12:00, 13:15 – 18:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof ;7250;Klosters Platz;"Mo-Fr 06:45 – 18:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";+41 81 288 37 16;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhof 1;8570;Weinfelden;"Mo-Fr 06:45 – 18:30; Sa 07:45 – 17:00; So 7:45 – 12:00, 13:15 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 4;6340;Baar;"Mo-Fr 06:45 – 18:30; Sa 07:50 – 12:15, 13:15 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 11;8330;Pfäffikon ZH;"Mo-Fr 06:45 – 18:30; Sa 08:15 – 11:55, 13:00 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse;8630;Rüti ZH;"Mo-Fr 06:45 – 18:45; Sa 07:15 – 12:00, 13:00 – 16:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Bahnhofstrasse 5;8810;Horgen;"Mo-Fr 06:45 – 18:45; Sa 07:45 – 12:30, 13:15 – 16:45<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Stationsstrasse;8906;Bonstetten-Wettswil;"Mo-Fr 06:45 – 18:45; Sa 07:45 – 15:15<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;"THURBO; Bahnhofstraße 12";8280;Kreuzlingen;"Mo-Fr 06:45 – 18:45; Sa 07:45 – 17:00; So 08:45 – 11:45, 12:45 – 17:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
Bahnhof Gepäckschalter;;;;Seminarstrasse 118;5430;Wettingen;"Mo-Fr 06:45 – 18:45; Sa 08:00 – 12:00, 13:00 – 16:00<br />Kostenloser Transport nur nach vorgängiger Bestellung einer Transportetikette unter <a target=""_blank"" href=""http://velafrica.ch.darwin.sui-inter.net/de/Kontakt/Kontaktformular"">velafrica.ch</a> oder 031 979 70 50";0900 300 300;FE7569;;
